,yrmts,ppt
1055,1982oct,8.180000305
1056,1982sep,12.61999989
1057,1983apr,4.300000191
1058,1983aug,14.55000019
1059,1983dec,5.03000021
1060,1983feb,4.340000153
1061,1983jan,3.200000048
1062,1983jul,13.02999973
1063,1983jun,11.11999989
1064,1983mar,4.570000172
1065,1983may,8.5
1066,1983nov,4.420000076
1067,1983oct,10.39999962
1068,1983sep,13.30000019
1069,1984apr,4.510000229
1070,1984aug,13.40999985
1071,1984dec,1.25
1072,1984feb,1.980000019
1073,1984jan,3.140000105
1074,1984jul,15.72000027
1075,1984jun,11.56000042
1076,1984mar,5.21999979
1077,1984may,10.01000023
1078,1984nov,4.380000114
1079,1984oct,7.599999905
