id,seed_mass_g
Achillea_pannonica,0.145
Achillea_ptarmica,0.25
Achillea_santolina,0.2
Achillea_serbica,0.27
Achillea_sibirica,0.23
Achillea_wilhelmsii,0.18
Achlys_triphylla,6.18
Achnatherum_bromoides,3
Achnatherum_lemmonii,5.29
Achnatherum_occidentale,2.99
Achnatherum_robustum,4.82
Achnatherum_splendens,0.57
Achnatherum_thurberianum,3.06
Achnophora_tatei,0.22
Achyrachaena_mollis,4.45
Achyranthes_aspera,3.12
Achyranthes_aspera,3.52
Achyranthes_aspera,3.72
Achyranthes_japonica,2.03
Achyranthes_longifolia,2.51
Achyranthes_patula,0.27
Achyrospermum_cryptanthum,1.09
Achyrospermum_laterale,0.74
Achyrospermum_schimperi,1
Achyrothalamus_marginatus,19.39
Acicarpha_tribuloides,6.1
Acinos_arvensis,0.21
Aciphylla_aurea,5.2
Aciphylla_glacialis,4.17
Aciphylla_glaucescens,9.29
Aciphylla_simplicifolia,4.29
Ackama_rosaefolia,0.07
Acmella_oppositifolia,0.18
Acmella_uliginosa,0.1
Acmena_acuminatissima,1350
Acmena_brachyandra,1349.98
Acmena_divaricata,15590.628
Acmena_graveolens,15590.628
Acmena_hemilampra,418.66
Acmena_mackinnoniana,4186.222
Acmena_resa,551.3316
Acmena_smithii,173
Acmenosperma_claviflorum,232.318
Acmispon_americanus,5.1
Acmispon_brachycarpus,2.61
Acmispon_denticulatus,6.05
Acmispon_maritimus,2.82
Acmispon_wrangelianus,2
Acokanthera_oppositifolia,125.38
Acokanthera_rotundata,154.91
Acokanthera_schimperi,94
Acokanthera_spectabilis,1
Acomis_acoma,0.48
Aconitum_chasmanthum,1.8
Aconitum_columbianum,1.677
Aconitum_columbianum,2.1
Aconitum_delphiniifolium,0.97
Aconitum_heterophyllum,0.91
Aconitum_leucostomum,3.4
Aconitum_napellus,3.5
Aconitum_soongaricum,1.99
Aconitum_spathulatum,0.96
Aconitum_violaceum,0.57
Aconitum_vulparia,4.04
Acorus_calamus,3.72
Acosmium_nitens,118
Acourtia_alamanii,2.25
Acourtia_dugesii,1.79
Acourtia_microcephala,1.12
Acourtia_thurberi,0.25
Acrachne_racemosa,0.19
Acridocarpus_excelsus,27.62
Acridocarpus_natalitius,122
Acroceras_amplectens,4.08
Acroclinium_roseum,2.5
Acronychia_crassipetala,4
Acronychia_laevis,12.953
